id,density1,density2,speedband,timestamp
6710,1.333,1.667,70,2022-10-24 19:02:00
6710,5.333,3.333,70,2022-10-24 19:05:00
6710,6.667,5,70,2022-10-24 19:10:00
6710,8,6.667,70,2022-10-24 19:15:00
6710,5.333,1.667,70,2022-10-24 19:20:00
6710,10.667,0,70,2022-10-24 19:25:00
6710,5.333,10,70,2022-10-24 19:30:00
6710,8,3.333,70,2022-10-24 19:35:00
6710,6.667,6.667,70,2022-10-24 19:40:00
6710,10.667,3.333,70,2022-10-24 19:45:00
6710,9.333,1.667,70,2022-10-24 19:50:00
6710,4,15,70,2022-10-24 19:55:00
6710,9.333,5,70,2022-10-24 20:00:00
6710,0,11.667,70,2022-10-24 20:05:00
6710,2.667,11.667,70,2022-10-24 20:10:00
6710,5.333,11.667,70,2022-10-24 20:15:00
6710,13.333,0,70,2022-10-24 20:20:00
6710,5.333,3.333,70,2022-10-24 20:25:00
6710,1.333,5,70,2022-10-24 20:30:00
6710,2.667,5,70,2022-10-24 20:35:00
6710,8,3.333,70,2022-10-24 20:40:00
6710,2.667,15,70,2022-10-24 20:45:00
6710,4,6.667,70,2022-10-24 20:50:00
6710,0,8.333,70,2022-10-24 20:55:00
6710,0,0,70,2022-10-24 21:00:00
6710,13.333,5,70,2022-10-24 21:05:00
6710,14.667,8.333,70,2022-10-24 21:10:00
6710,4,1.667,70,2022-10-24 21:15:00
6710,22.667,3.333,70,2022-10-24 21:20:00
6710,0,5,70,2022-10-24 21:25:00
6710,2.667,8.333,70,2022-10-24 21:30:00
6710,9.333,1.667,70,2022-10-24 21:35:00
6710,1.333,5,70,2022-10-24 21:40:00
6710,5.333,0,70,2022-10-24 21:45:00
6710,1.333,5,70,2022-10-24 21:50:00
6710,0,3.333,70,2022-10-24 21:55:00
6710,6.667,0,70,2022-10-24 22:00:00
6710,8,1.667,70,2022-10-24 22:05:00
6710,1.333,8.333,70,2022-10-24 22:10:00
6710,1.333,8.333,70,2022-10-24 22:15:00
6710,0,3.333,70,2022-10-24 22:20:00
6710,5.333,8.333,70,2022-10-24 22:25:00
6710,5.333,8.333,70,2022-10-24 22:30:00
6710,0,5,70,2022-10-24 22:35:00
6710,5.333,6.667,70,2022-10-24 22:40:00
6710,2.667,5,70,2022-10-24 22:45:00
6710,10.667,3.333,70,2022-10-24 22:50:00
6710,0,8.333,70,2022-10-24 22:55:00
6710,4,0,70,2022-10-24 23:00:00
6710,2.667,3.333,70,2022-10-24 23:05:00
6710,2.667,1.667,70,2022-10-24 23:10:00
6710,0,6.667,70,2022-10-24 23:15:00
6710,2.667,3.333,70,2022-10-24 23:20:00
6710,0,6.667,70,2022-10-24 23:25:00
6710,1.333,1.667,70,2022-10-24 23:30:00
6710,2.667,10,70,2022-10-24 23:35:00
6710,1.333,0,70,2022-10-24 23:40:00
6710,1.333,0,70,2022-10-24 23:45:00
6710,0,0,70,2022-10-24 23:50:00
6710,2.667,1.667,70,2022-10-24 23:55:00
6710,2.667,3.333,70,2022-10-25
6710,6.667,1.667,70,2022-10-25 00:05:00
6710,2.667,0,70,2022-10-25 00:10:00
6710,4,3.333,70,2022-10-25 00:15:00
6710,1.333,0,70,2022-10-25 00:20:00
6710,0,0,70,2022-10-25 00:25:00
6710,2.667,0,70,2022-10-25 00:30:00
6710,0,0,70,2022-10-25 00:35:00
6710,8,0,70,2022-10-25 00:40:00
6710,8,5,70,2022-10-25 00:45:00
6710,0,0,70,2022-10-25 00:50:00
6710,6.667,1.667,70,2022-10-25 00:55:00
6710,2.667,0,70,2022-10-25 01:00:00
6710,1.333,1.667,70,2022-10-25 01:05:00
6710,1.333,1.667,70,2022-10-25 01:10:00
6710,0,0,70,2022-10-25 01:15:00
6710,0,0,70,2022-10-25 01:20:00
6710,0,0,70,2022-10-25 01:25:00
6710,0,0,70,2022-10-25 01:30:00
6710,0,0,70,2022-10-25 01:35:00
6710,2.667,0,70,2022-10-25 01:40:00
6710,0,0,70,2022-10-25 01:45:00
6710,0,3.333,70,2022-10-25 01:50:00
6710,0,0,70,2022-10-25 01:55:00
6710,0,1.667,70,2022-10-25 02:00:00
6710,4,0,70,2022-10-25 02:05:00
6710,0,1.667,70,2022-10-25 02:10:00
6710,1.333,6.667,70,2022-10-25 02:15:00
6710,0,0,70,2022-10-25 02:20:00
6710,1.333,0,70,2022-10-25 02:25:00
6710,0,0,70,2022-10-25 02:30:00
6710,1.333,3.333,70,2022-10-25 02:35:00
6710,0,0,70,2022-10-25 02:40:00
6710,0,0,70,2022-10-25 02:45:00
6710,0,0,70,2022-10-25 02:50:00
6710,0,5,70,2022-10-25 02:55:00
6710,0,0,70,2022-10-25 03:00:00
6710,1.333,0,70,2022-10-25 03:05:00
6710,0,0,70,2022-10-25 03:10:00
6710,1.333,0,70,2022-10-25 03:15:00
6710,0,0,70,2022-10-25 03:20:00
6710,0,0,70,2022-10-25 03:25:00
6710,0,3.333,70,2022-10-25 03:30:00
6710,0,0,70,2022-10-25 03:35:00
6710,0,3.333,70,2022-10-25 03:40:00
6710,0,0,70,2022-10-25 03:45:00
6710,0,0,70,2022-10-25 03:50:00
6710,0,0,70,2022-10-25 03:55:00
6710,0,0,70,2022-10-25 04:00:00
6710,0,0,70,2022-10-25 04:05:00
6710,0,3.333,70,2022-10-25 04:10:00
6710,0,3.333,70,2022-10-25 04:15:00
6710,0,1.667,70,2022-10-25 04:20:00
6710,0,0,70,2022-10-25 04:25:00
6710,5.333,0,70,2022-10-25 04:30:00
6710,0,0,70,2022-10-25 04:35:00
6710,0,0,70,2022-10-25 04:40:00
6710,1.333,0,70,2022-10-25 04:45:00
6710,0,0,70,2022-10-25 04:50:00
6710,0,0,70,2022-10-25 04:55:00
6710,0,0,70,2022-10-25 05:00:00
6710,0,1.667,70,2022-10-25 05:05:00
6710,0,1.667,70,2022-10-25 05:10:00
6710,0,0,70,2022-10-25 05:15:00
6710,1.333,0,70,2022-10-25 05:20:00
6710,1.333,1.667,70,2022-10-25 05:25:00
6710,1.333,0,70,2022-10-25 05:30:00
6710,0,3.333,70,2022-10-25 05:35:00
6710,0,3.333,70,2022-10-25 05:40:00
6710,2.667,0,70,2022-10-25 05:45:00
6710,0,0,70,2022-10-25 05:50:00
6710,2.667,0,70,2022-10-25 05:55:00
6710,0,0,70,2022-10-25 06:00:00
6710,5.333,0,70,2022-10-25 06:05:00
6710,4,10,70,2022-10-25 06:10:00
6710,1.333,8.333,70,2022-10-25 06:15:00
6710,6.667,3.333,70,2022-10-25 06:20:00
6710,0,3.333,70,2022-10-25 06:25:00
6710,4,6.667,70,2022-10-25 06:30:00
6710,0,5,70,2022-10-25 06:35:00
